site_code,start_date,end_date,soil.moisture_m3m3_era5,soil_classification,classication_source,wilting_point_SR2006,field_capacity_SR2006,TEWmax,TEW,REW,REW_corr
bldr.us,3/1/11,9/28/11,0.274204426,sandy_loam,NutNet,0.08,0.18,0.1,0.194204426,1.94204426,1
bnch.us,4/1/11,9/28/11,0.29068436,sandy_loam,NutNet,0.08,0.18,0.1,0.21068436,2.1068436,1
bogong.au,10/1/11,2/28/12,0.369788649,sandy_loam,NutNet,0.08,0.18,0.1,0.289788649,2.89788649,1
burrawan.au,10/1/11,6/28/12,0.230862851,sandy_loam,NutNet,0.08,0.18,0.1,0.150862851,1.50862851,1
cbgb.us,5/1/12,11/28/12,0.250038973,sand,NutNet,0.05,0.1,0.05,0.200038973,4.00077946,1
comp.pt,10/1/14,6/28/15,0.174634112,sand,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10783/107831U/High-resolution-mapping-of-soil-moisture-in-agriculture-based-on/10.1117/12.2325709.full?SSO=1,0.05,0.1,0.05,0.124634112,2.49268224,1
cowi.ca,4/1/11,8/28/11,0.228326243,clay_loam,NutNet,0.22,0.36,0.14,0.008326243,0.059473164,0.059473164
elliot.us,11/1/11,5/28/12,0.173740241,sandy_loam,NutNet,0.08,0.18,0.1,0.093740241,0.93740241,0.93740241
frue.ch,4/1/11,10/28/11,0.383573511,loam,,0.14,0.28,0.14,0.243573511,1.739810793,1
gilb.za,10/1/12,2/28/13,0.445992288,sandy_loam,NutNet,0.08,0.18,0.1,0.365992288,3.65992288,1
hopl.us,11/1/11,5/28/12,0.315711014,loam,https://soilseries.sc.egov.usda.gov/OSD_Docs/H/HOPLAND.html,0.14,0.28,0.14,0.175711014,1.255078671,1
jena.de,3/1/11,11/28/11,0.30299995,sandy_loam,"https://soilseries.sc.egov.usda.gov/OSD_Docs/J/JENA.html#:~:text=It%20is%20fine%20sandy%20loam,loam%2C%20or%20loamy%20fine%20sand.",0.08,0.18,0.1,0.22299995,2.2299995,1
kiny.au,5/1/11,11/28/11,0.360966539,clay,NutNet,0.3,0.42,0.12,0.060966539,0.508054492,0.508054492
konz.us,5/1/11,10/28/11,0.204600963,silty_clay_loam,https://soilseries.sc.egov.usda.gov/OSD_Docs/K/KONZA.html,0.22,0.38,0.16,-0.015399037,-0.096243981,0
lancaster.uk,3/1/11,9/28/11,0.360049496,loam,NutNet,0.14,0.28,0.14,0.220049496,1.571782114,1
look.us,3/1/11,9/28/11,0.307599208,sandy_loam,NutNet,0.08,0.18,0.1,0.227599208,2.27599208,1
mcla.us,11/1/11,5/28/12,0.288298283,NA,,NA,NA,NA,NA,NA,NA
mtca.au,8/1/11,11/28/11,0.165094253,loamy_sand,NutNet,0.05,0.12,0.07,0.115094253,1.644203614,1
sage.us,4/1/11,8/28/11,0.405550046,loam,NutNet,0.14,0.28,0.14,0.265550046,1.896786043,1
saline.us,5/1/11,10/28/11,0.204391087,NA,,NA,NA,NA,NA,NA,NA
sgs.us,4/1/11,9/28/11,0.212377619,sandy_loam,NutNet,0.08,0.18,0.1,0.132377619,1.32377619,1
shps.us,4/1/11,10/28/11,0.16780361,loam,NutNet,0.14,0.28,0.14,0.02780361,0.198597214,0.198597214
sier.us,11/1/11,5/28/12,0.29291978,loam,NutNet,0.14,0.28,0.14,0.15291978,1.092284143,1
smith.us,10/1/11,7/28/12,0.37428432,loamy_sand,NutNet,0.05,0.12,0.07,0.32428432,4.632633143,1
summ.za,9/1/12,2/28/13,0.562862605,sandy_loam,NutNet,0.08,0.18,0.1,0.482862605,4.82862605,1
unc.us,4/1/11,10/28/11,0.338001848,sandy_loam,NutNet,0.08,0.18,0.1,0.258001848,2.58001848,1
valm.ch,6/1/11,9/28/11,0.442794468,sandy_loam,NutNet,0.08,0.18,0.1,0.362794468,3.62794468,1